id	description
IMP	Impairment Detail
IN1	Individual Identification
IN2	Individual Name Structure Components
INC	Installment Information
IND	Additional Individual Demographic Information
INI	Incorporation Information
INQ	Credit Inquiry Details
INR	Information Request
INS	Insured Benefit
INT	Interest
INV	Investment Vehicle Selection
INX	Index Detail
IRA	Investor Reporting Action
IRP	Report Selection Segment
IS1	Estimated Time Of Arrival And Car Scheduling
IS2	Scheduled Events
ISC	Interline Service Commitment Detail
ISD	Railroad Interline Service Definition Detail
ISI	Institutional Staff Information
ISR	Item Status Report
ISS	Invoice Shipment Summary
IT1	Baseline Item Data (Invoice)
IT3	Additional Item Data
IT8	Conditions Of Sale
ITA	Allowance, Charge Or Service
ITC	Information Type And Comment Results
ITD	Terms Of Sale/Deferred Terms Of Sale
IV1	Lane Estimates
JCT	Railroad Junction Information
JID	Equipment Detail
JIL	Line Item Detail For The Operating Expense Statement
JIT	Just-In-Time Schedule
JL	Journal Identification
JS	Rail Junction Settlement Role Information
K1	Remarks
K2	Administrative Message
K3	File Information
L0	Line Item - Quantity And Weight
L1	Rate And Charges
L10	Weight Information
L11	Business Instructions And Reference Number
L12	Alternate Lading Description
L13	Commodity Details
L1A	Billing Identification
L3	Total Weight And Charges
L4	Measurement
L5	Description, Marks And Numbers
L7	Tariff Reference
L8	Line Item Subtotal
L9	Charge Detail
LAD	Lading Detail
LC	Life Coverage
LC1	Lane Commitments
LCD	Place/Location Description
LCT	Logistics Container Tracking Information
LDT	Lead Time
LE	Loop Trailer
LEP	Epa Required Data
LEQ	Leased Equipment Information
LET	Load And Equipment Type
LFG	Hazardous Information, Finished Goods
LFH	Free-Form Hazardous Material Information
LFI	Beginning Segment For Locomotive Information
LH	Mixed Hazardous Commodities
LH1	Hazardous Identification Information
LH2	Hazardous Classification Information
LH3	Hazardous Material Shipping Name Information
LH4	Canadian Dangerous Requirements
LH6	Hazardous Certification
LHE	Empty Equipment Hazardous Material Information
LHR	Hazardous Material Identifying Reference Numbers
LHT	Transborder Hazardous Requirements
LIC	License Information
LID	Loss Information Description
LIE	Individual Or Event Location
LIN	Item Identification
LM	Code Source Information
LN	Loan Information
LN1	Loan Specific Data
LN2	Existing Real Estate Loan Specific Data
LOC	Location
LOD	Location Description
LP	Load Planning
LQ	Industry Code Identification
LRQ	Mortgage Characteristics Requested
LS	Loop Header
LS1	Asset Item Identification
LT	Letter Of Recommendation
LTE	Letter Of Recommendation Evaluation
LTR	Laboratory Test Results
LUC	Loan Underwriting
LUI	Language Use
LV	Loan Verification
LX	Transaction Set Line Number
M0	Letter Of Credit Reference
M1	Insurance
M10	Manifest Identifying Information
M11	Manifest Bill Of Lading Details
M12	In-Bond Identifying Information
M13	Manifest Amendment Details
M14	General Order Status Information
M15	Customs Events Advisory Details
M2	Sales/Delivery Terms
M20	Permit To Transfer Request Details
M21	Supplementary In-Bond Information
M3	Release
M7	Seal Numbers
M7A	Seal Number Replacement
MAN	Marks And Numbers Information
MBL	Bill Of Lading
MC	Miscellaneous And Accessorial Charges
MCD	Mortgage Closing Data
MCT	Tariff Accessorial Charges
MEA	Measurements
MI	Media Information
MI1	Mileage Source
MIA	Medicare Inpatient Adjudication
MIC	Mortgage Insurance Coverage
MIN	Minimum Detail
MIR	Mortgage Insurance Response
MIS	Mortgagee Information Status
MIT	Message Identification
MKS	Marks Awarded
MLA	Mortgage Loan Audit Information
MLS	Milestone
MNC	Mortgage Note Characteristics
MOA	Medicare Outpatient Adjudication
MPI	Military Personnel Information
MPP	Mortgage Pool Program
MRC	Mortgagor Response Characteristics
MS	Miscellaneous Services
MS1	Equipment, Shipment, Or Real Property Location
MS2	Equipment Or Container Owner And Type
MS3	Interline Information
MS4	Shipment Or Package Dimensions
MS5	Shipment Rates And Charges
MS6	Shipment Quantity And Weight
MSG	Message Text
MSI	Multi-Stop Shipment Information
MSS	Material Safety Data Sheet Section Information
MTX	Text
N1	Party Identification
N10	Quantity And Description
N11	Store Location
N12	Equipment Environment
N2	Additional Name Information
N3	Party Location
N4	Geographic Location
N5	Equipment Ordered
N7	Equipment Details
N7A	Accessorial Equipment Details
N7B	Additional Equipment Details
N8	Waybill Reference
N8A	Additional Reference Information
N9	Extended Reference Information
NA	Cross-Reference Equipment
NCA	Nonconformance Action
NCD	Nonconformance Description
NM1	Individual Or Organizational Name
NTE	Note/Special Instruction
NX1	Property Or Entity Identification
NX2	Location Id Component
OBI	Obligation Information
OD	Origin And Destination
OI	Other Health Insurance Information
OID	Order Information Detail
OOI	Associated Object Type Identification
OPS	Program Subject Area And Eligibility
OPX	Placement Criteria
OQS	Order Quantity Sequence
ORI	Object Reference Identification
OTI	Original Transaction Identification
P1	Pickup
P2	Delivery Date Information
P4	Port Information
P5	Port Function
PAD	Product Adjustment Detail
PAI	Print Advertisement Information
PAL	Pallet Type And Load Characteristics
PAM	Period Amount
PAS	Property Appraisal Summary
PAT	Patient Information
PBI	Problem Identification
PCL	Previous College
PCR	Payment Cancellation Request
PCS	Product Claim Status
PCT	Percent Amounts
PD	Pricing Data
PDD	Pricing Data Detail
PDE	Property Metes And Bounds Description
PDI	Practice Detail Information
PDL	Payment Details
PDP	Property Description - Personal
PDR	Property Description - Real
PDS	Property Description/Legal Description
PEN	Pension Information
PER	Administrative Communications Contact
PEX	Property Or Housing Expense
PI	Price Authority Identification
PID	Product/Item Description
PIN	Previous Incident
PKD	Packaging Description
PKG	Marking, Packaging, Loading
PKL	Multi-Pack Configuration
PL	Proposal Cost Logic
PLA	Place Or Location
PLB	Provider Level Adjustment
PLC	Equipment Placement Information
PLD	Pallet Shipment Information
PLI	Previous Loan Information
PM	Electronic Funds Transfer Information
PO1	Baseline Item Data
PO3	Additional Item Detail
PO4	Item Physical Details
POC	Line Item Change
POD	Proof Of Delivery
PPA	Property Location
PPD	Payment Pattern Details
PPL	Price Support Data
PPY	Personal Property Description
PR	Product (Commodity)
PR1	Price Request Parameter List 1
PR2	Price Request Parameter List 2
PRC	Payment Rate Change
PRD	Mortgage Loan Product Description
PRF	Purchase Order Reference
PRI	External Reference Identifier
PRJ	Multifamily Housing Project
PRM	Basic Trace Parameters
PRR	Problem Report
PRS	Part Release Status
PRT	Part Disposition
PRV	Provider Information
PS	Protective Service Instructions
PS1	Purchase Service
PSA	Partner Share Accounting
PSC	Product Service Contract
PSD	Physical Sample Description
PT	Patron
PTD	Product Transfer And Resale Detail
PTF	Property Transaction Financials
PTS	Property Tax Status
PUN	Beginning Segment For Motor Carrier Pickup Notification
PWK	Paperwork
PYD	Payroll Deduction
PYM	Payment Manner And Percentage
PYT	Historical Payment Terms
Q2	Status Details (Ocean)
Q3	Arrival Details
Q5	Status Details
Q7	Lading Exception Status
Q8	Detail Delivery Exception Information
QTY	Quantity Information
R1	Route Information (Air)
R11	Beginning Segment For Trailer Or Container Repair Billing
R12	Work Order Information
R13	Line Item Repair
R2	Route Information
R2A	Route Information With Preference
R2B	Junctions And Proportions
R2C	Division Basis
R2D	Miscellaneous Charge
R3	Route Information - Motor
R4	Port Or Terminal
R9	Route Code Identification
RA	Rate Header
RAB	Rate Or Minimum Qualifiers
RAP	Requirement, Attribute, And Proficiency
RB	Rate/Minimum Detail
RC	Root Cause
RCD	Receiving Conditions
RCR	Reporting Criteria
RD	Rate Data
RDD	Route Description Detail
RDI	Retail Account Demographic Information
RDM	Remittance Delivery Method
RDR	Return Disposition Reason
RDT	Revision Date/Time
REA	Real Estate Property Information
REC	Real Estate Condition
RED	Related Data
REF	Reference Information
REL	Relationship
REN	Rate Request Information
REP	Repair Action
REQ	Request Information
RES	Real Estate Sales Price Change
RET	Real Estate Transaction
RH	Personal Property Rate
RIC	Financial Return
RLD	Down Payment Data
RLT	Real Estate Loan Type
RMR	Remittance Advice Accounts Receivable Open Item Reference
RMT	Remittance Advice
RO	Public Record Or Obligation
RP	Retirement Product
RPA	Rate Amounts Or Percents
RQS	Request For Information
RRA	Required Response
RS	Rate Subset
RSC	Resource
RSD	Residency Information
RST	Carrier Restriction
RT	Rate Destination
RT1	Rate Detail
RTE	Rate Information
RTT	Freight Rate Information
RU1	Retirement Board Detail
RU2	Employing Carrier Response
RU3	Employing Carrier Claim Profile
RYL	Royalty Payment
S1	Stop-Off Name
S2	Stop-Off Address
S4A	Assurance Header Level 2
S5	Stop-Off Details
S9	Stop-Off Station
SA	Status Action
SAC	Service, Promotion, Allowance, Or Charge Information
SAD	Student Award Detail
SAL	Salary Information
SB	Docket Level
SBR	Subscriber Information
SBT	Subtest
SC	Docket Sub-Level
SCA	Statistical Category Analysis
SCD	Sales Commission Employee Detail
SCH	Line Item Schedule
SCL	Rate Basis/Scales
SCM	Credit Score Model
SCN	Beginning Segment For Cartage Work Assignment
SCP	Beginning Segment For A Cartage Work Assignment Response
SCR	Shipper's Car Ordered Rail
SCS	Credit Score
SCT	School Type
SD1	Safety Data
SDP	Ship/Delivery Pattern
SDQ	Destination Quantity
SER	Service Charges
SES	Academic Session Header
SFC	Storage Facility Characteristics
SG	Shipment Status
SHD	Shipment Detail
SHI	Security Holding Information
SHP	Shipped/Received Information
SHR	Railroad Interline Service Special Handling Restrictions
SI	Service Characteristic Identification
SID	Standard Transportation Commodity Code Identification
SII	Sales Item Information
SIN	Substance Use
SL1	Tariff Details
SLA	School Accreditation And Licensing
SLI	Specific Loan Information
SLN	Subline Item Detail
SMA	Station Address
SMB	Beginning Segment For Railroad Station Master File
SMD	Consolidated Shipment Manifest Data
SMO	Operational Services
SMR	Cross Reference
SMS	Station Codes Segment
SN1	Item Detail (Shipment)
SOI	Source Of Income
SOM	Status Of Mortgage
SP	Special Program
SPA	Status Of Product Or Activity
SPE	Security Protocol Error
SPI	Specification Identifier
SPK	Specimen Kit Information
SPR	Supplier Rating
SPS	Sampling Parameters For Summary Statistics
SPY	Scope Of Power Of Attorney
SR	Requested Service Schedule
SRA	Traffic Evaluation Factors
SRD	Scale Rate Detail
SRE	Test Scores
SRM	Scale Rates
SRT	Scale Rate Header
SS	Docket Control Status
SSC	Beginning Segment For Service Commitment Advice
SSD	Shipment Sort Segregate Data
SSE	Entry And Exit Information
SSS	Product Special Services
SST	Student Academic Status
STA	Statistics
STC	Status Information
STP	Study Parameters
STS	Interchange Status Segment
SUM	Academic Summary
SUP	Supplementary Information
SV	Service Description
SV1	Professional Service
SV2	Institutional Service
SV3	Dental Service
SV4	Drug Service
SV5	Durable Medical Equipment Service
SV6	Anesthesia Service
SV7	Drug Adjudication
SVA	Security Value
SVC	Service Information
SVD	Service Line Adjudication
SW	Switching Charges
SWC	Switching Conditions
SWD	Switching Details
SWR	Switching Rates
T1	Transit Inbound Origin
T2	Transit Inbound Lading
T3	Transit Inbound Route
T6	Transit Inbound Rates
T8	Free-Form Transit Data
TA	Tax Authority
TAX	Tax Reference
TBI	Trade Line Bureau Identifier
TC2	Commodity
TCD	Itemized Call Detail
TD1	Carrier Details (Quantity And Weight)
TD3	Carrier Details (Equipment)
TD4	Carrier Details (Special Handling Or Hazardous Materials Or Both)
TD5	Carrier Details (Routing Sequence/Transit Time)
TDS	Total Monetary Value Summary
TDT	Tax Delinquency Status
TED	Technical Error Description
TEM	Pickup Totals
TER	Territory
TF	Tariff Information
TFR	Tariff Restrictions
TFS	Tax Form
THE	Screen Theater Identification
TI	Transport Information
TIA	Tax Information And Amount
TID	Task Identification
TII	Tax Installment Information
TIS	Title Insurance Services
TLN	Tradeline
TMD	Test Method
TOA	Type Of Activity
TOO	Tooth Identification
TOV	Vehicle Use Information
TPB	Business Professional Title
TPD	Trading Partner Detail
TRF	Rating Factors
TRL	Equipment Usage Information
TRN	Trace
TRS	Tax Rate
TS	Tariff Section
TS2	Transaction Supplemental Statistics
TS3	Transaction Statistics
TSD	Trailer Shipment Details
TSI	Automatic Equipment Tag Status Information
TSP	Test Period Or Interval
TST	Test Score Record
TSU	Transaction Summary
TT	Term Text
TUD	Trade Union Data
TXI	Tax Information
TXN	Transaction Capabilities
TXP	Tax Payment
UC	Underwriting Category
UCS	Underwriting Considerations
UD	Underwriting Status
UDA	Underwriting Condition
UIT	Unit Detail
UM	Health Care Services Review Information
UQS	Underwriting Question
UR	Peer Review Organization Or Utilization Review
USD	Usage-Sensitive Detail
USI	Unitized Shipment Information
UWI	Underwriting Information
V1	Vessel Identification
V2	Vessel Information
V3	Vessel Schedule
V4	Cargo Location Reference
V5	Vessel Identification
V9	Event Detail
VAD	Vehicle Advice Detail
VAR	Credit File Variation
VAT	Vehicle Attribute
VC	Motor Vehicle Control
VC1	Vehicle Detail
VDI	Value Description Or Information
VEH	Vehicle Information
VID	Conveyance Identification
VR	Rate Origin
VRC	Vehicle Recovery
W01	Line Item Detail - Warehouse
W03	Total Shipment Information (Warehouse)
W04	Item Detail Total
W05	Shipping Order Identification
W06	Warehouse Shipment Identification
W07	Item Detail For Stock Receipt
W08	Receipt Carrier Information
W09	Equipment And Temperature
W1	Block Identification
W10	Warehouse Additional Carrier Information
W12	Warehouse Item Detail
W13	Item Detail Exception
W14	Total Receipt Information
W15	Warehouse Adjustment Identification
W17	Warehouse Receipt Identification
W18	Probe Temperatures
W19	Warehouse Adjustment Item Detail
W2	Equipment Identification
W20	Line Item Detail - Packing
W27	Carrier Details (Warehouse)
W28	Consolidation Information
W3	Consignee Information
W4	Consignor Information
W5	Carrier And Route Information
W6	Special Handling Information
W66	Warehouse Carrier Information
W76	Total Shipping Order
WLD	Workload Detail
WS	Work Schedule
X01	Automated Manifest Archive Status Details
X02	Automated Manifest Bills Eligible/Overdue Archive Details
X1	Export License
X2	Import License
X4	Customs Release Information
X7	Customs Information
XD	Placement/Pull Data
XH	Pro Forma - B13 Information
XPO	Preassigned Purchase Order Numbers
XQ	Reporting Date/Action
Y1	Space Reservation Request
Y2	Container Details
Y3	Space Confirmation
Y4	Container Release
Y5	Space Booking Cancellation
Y6	Authentication
Y7	Cargo Booking Priority
YNQ	Yes/No Question
ZA	Product Activity Reporting
ZC1	Beginning Segment For Data Correction Or Change
ZD	Transaction Set Deletion - Id, Reason, And Source
ZR	Waybill Reference Identification
ZT	Waybill Request Information